序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,年度股息率(%) 2025.12.31,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
65,600036,招商银行,SH,39.91,0.03,4.79,6.70,0.010,40.15,39.75,0.30,0.98,6172.58万,24.67亿,1.68,0.9408,1.01万亿,8233.01亿,1000002452,False
66,600132,重庆啤酒,SH,54.37,0.50,4.79,21.38,0.270,54.41,53.80,0.72,0.83,348.62万,1.89亿,5.34,19.1092,263.14亿,263.14亿,1000001874,False
67,600795,国电电力,SH,4.83,-1.02,4.78,12.03,-0.050,4.90,4.81,0.81,1.22,1.45亿,6.99亿,3.01,1.4485,861.46亿,861.46亿,1000002157,False
68,601686,友发集团,SH,5.86,0.86,4.78,10.44,0.050,5.87,5.79,0.29,0.91,423.78万,2472.60万,4.30,1.3518,86.23亿,86.23亿,1001898968,False
69,601330,绿色动力,SH,7.96,-0.38,4.75,18.44,-0.030,7.99,7.91,1.83,0.82,1807.59万,1.44亿,4.61,1.4148,113.87亿,78.73亿,1000734399,False
70,603967,中创物流,SH,13.04,1.24,4.73,17.33,0.160,13.07,12.84,0.70,0.82,240.96万,3120.34万,4.33,1.8941,45.21亿,45.21亿,1000730079,False
71,600941,中国移动,SH,93.66,-0.05,4.73,14.80,-0.050,93.97,93.58,0.64,0.90,582.08万,5.46亿,3.70,1.4560,2.03万亿,845.53亿,1002662887,False
72,002128,电投能源,SZ,33.80,3.11,4.66,12.93,1.020,34.23,32.98,1.06,1.30,2382.13万,8.02亿,9.47,1.9083,757.65亿,757.65亿,1000007108,False
73,003008,开普检测,SZ,23.55,2.17,4.64,27.77,0.500,23.63,22.79,2.46,0.79,191.35万,4446.78万,6.94,2.3066,24.49亿,18.30亿,1001799490,False
74,600027,华电国际,SH,4.66,0.00,4.64,8.91,0.000,4.68,4.64,0.86,0.96,7899.77万,3.68亿,2.23,1.1235,541.11亿,429.45亿,1000001731,False
