序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,总市值(元) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
21,000333,美的集团,SZ,77.90,0.53,5923.90亿,13.48,0.410,78.44,77.40,0.35,1.00,2380.78万,18.54亿,3.37,2.6538,5338.71亿,1000240855,False
22,601728,中国电信,SH,5.85,0.34,5353.17亿,16.13,0.020,5.86,5.80,0.15,1.18,1.16亿,6.75亿,4.03,1.1616,4541.34亿,1002622263,False
23,601998,中信银行,SH,8.29,-1.54,4612.98亿,6.53,-0.130,8.46,8.22,0.08,1.08,3415.68万,2.84亿,1.63,0.6373,3379.25亿,1000001761,False
24,002475,立讯精密,SZ,60.45,2.84,4404.38亿,26.53,1.670,60.65,58.00,2.75,0.73,2.00亿,119.04亿,6.63,5.2188,4394.28亿,1000007943,False
25,603993,洛阳钼业,SH,20.29,1.60,4340.91亿,21.34,0.320,20.34,19.98,1.24,0.83,2.16亿,43.66亿,5.34,5.2658,3542.81亿,1000011995,False
26,000858,五 粮 液,SZ,103.44,-0.11,4015.14亿,14.12,-0.110,104.00,103.22,0.23,0.78,901.66万,9.34亿,4.67,3.0305,4014.97亿,1000002190,False
27,601166,兴业银行,SH,18.61,-0.48,3938.41亿,5.08,-0.090,18.79,18.57,0.26,1.05,5586.20万,10.42亿,1.27,0.4879,3938.41亿,1000001206,False
28,600030,中信证券,SH,26.31,1.15,3899.29亿,11.55,0.300,26.48,26.04,1.17,0.72,1.43亿,37.59亿,3.24,1.1655,3203.65亿,1000002450,False
29,002379,宏桥控股,SZ,29.30,3.64,3818.12亿,21.37,1.030,29.36,28.40,1.50,1.08,1703.45万,4.93亿,5.34,3.5000,332.96亿,1000008036,False
30,601601,中国太保,SH,37.87,-0.32,3643.22亿,6.81,-0.120,38.16,37.64,0.48,0.97,3268.85万,12.37亿,1.70,1.2058,2592.22亿,1000002668,False
31,600000,浦发银行,SH,10.00,-1.09,3330.58亿,6.66,-0.110,10.17,9.98,0.13,0.96,4370.23万,4.39亿,1.66,0.4523,3330.58亿,1000002165,False
32,601319,中国人保,SH,7.49,0.13,3312.38亿,7.10,0.010,7.52,7.44,0.15,1.08,5243.47万,3.92亿,1.78,1.0720,2658.78亿,1001117722,False
33,300059,东方财富,SZ,20.06,1.06,3170.29亿,26.23,0.210,20.25,19.86,1.77,0.72,2.36亿,47.36亿,6.56,3.5110,2675.55亿,1000008935,False
34,603259,药明康德,SH,105.66,-1.10,3152.64亿,16.46,-1.170,107.88,105.59,1.41,1.01,3476.48万,36.95亿,4.12,3.9550,2613.27亿,1001042696,False
35,002415,海康威视,SZ,33.54,1.02,3073.90亿,21.67,0.340,33.59,33.05,0.53,0.72,4793.49万,16.01亿,8.25,3.6885,3034.17亿,1000008069,False
