序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
141,600575,淮河能源,SH,3.66,-0.54,15.45,97.90|2025年报,-,16.98亿|2025年报,7.52亿|2025三季报,4.48亿|2025半年报,2.66亿|2025一季报,8.58亿|2024年报,-,21.51亿|2025年报,7.92亿|2025三季报,4.80亿|2025半年报,2.94亿|2025一季报,9.15亿|2024年报,-0.020,3.69,3.63,1.24,1.25,4802.67万,1.75亿,3.86,1.1936,262.30亿,142.24亿,1000001707,False
142,600125,铁龙物流,SH,6.20,-0.64,15.42,37.48|2025年报,-,5.25亿|2025年报,5.48亿|2025三季报,3.79亿|2025半年报,2.02亿|2025一季报,3.82亿|2024年报,-,5.21亿|2025年报,5.45亿|2025三季报,3.77亿|2025半年报,2.01亿|2025一季报,3.82亿|2024年报,-0.040,6.25,6.18,1.81,0.49,2362.71万,1.47亿,3.85,1.0619,80.94亿,80.94亿,1000002405,False
143,920735,德源药业,BJ,31.11,-0.48,15.40,33.87|2025年报,-,2.37亿|2025年报,1.59亿|2025三季报,9778.55万|2025半年报,4644.30万|2025一季报,1.77亿|2024年报,-,2.37亿|2025年报,1.59亿|2025三季报,9778.55万|2025半年报,4644.30万|2025一季报,1.77亿|2024年报,-0.150,31.39,30.56,1.39,0.80,143.98万,4453.63万,3.85,2.7927,36.50亿,32.28亿,1000466079,False
144,000612,焦作万方,SZ,13.73,4.33,15.28,81.95|2025年报,-,10.71亿|2025年报,9.06亿|2025三季报,5.36亿|2025半年报,1.61亿|2025一季报,5.89亿|2024年报,-,10.71亿|2025年报,9.06亿|2025三季报,5.36亿|2025半年报,1.61亿|2025一季报,5.89亿|2024年报,0.570,13.77,13.32,5.78,0.96,6887.10万,9.34亿,3.82,2.2764,163.69亿,163.55亿,1000004171,False
145,601333,广深铁路,SH,3.07,0.66,15.25,34.49|2025年报,-,14.26亿|2025年报,14.56亿|2025三季报,11.09亿|2025半年报,4.68亿|2025一季报,10.60亿|2024年报,-,14.25亿|2025年报,14.56亿|2025三季报,11.09亿|2025半年报,4.69亿|2025一季报,10.59亿|2024年报,0.020,3.09,3.04,0.80,1.07,4503.21万,1.38亿,3.81,0.7686,217.46亿,173.52亿,1000004424,False
146,002039,黔源电力,SZ,20.85,1.51,14.85,175.02|2025年报,-,6.00亿|2025年报,4.93亿|2025三季报,1.27亿|2025半年报,5184.65万|2025一季报,2.18亿|2024年报,-,11.15亿|2025年报,8.91亿|2025三季报,2.38亿|2025半年报,9845.19万|2025一季报,4.00亿|2024年报,0.310,21.09,20.36,2.70,0.54,1154.85万,2.40亿,3.71,2.0073,89.15亿,89.15亿,1000001732,False
147,600507,方大特钢,SH,6.05,10.00,14.85,280.18|2025年报,-,9.42亿|2025年报,7.89亿|2025三季报,4.05亿|2025半年报,2.50亿|2025一季报,2.48亿|2024年报,-,9.48亿|2025年报,7.91亿|2025三季报,4.06亿|2025半年报,2.51亿|2025一季报,2.52亿|2024年报,0.550,6.05,5.54,4.01,4.55,9268.88万,5.48亿,3.71,1.3783,139.95亿,139.95亿,1000001146,False
148,002170,芭田股份,SZ,13.87,3.12,14.77,122.79|2025年报,-,9.12亿|2025年报,6.87亿|2025三季报,4.56亿|2025半年报,1.71亿|2025一季报,4.09亿|2024年报,-,9.12亿|2025年报,6.88亿|2025三季报,4.57亿|2025半年报,1.71亿|2025一季报,4.10亿|2024年报,0.420,13.96,13.55,5.15,1.26,4056.10万,5.60亿,3.69,3.5813,134.59亿,109.17亿,1000006770,False
149,601901,方正证券,SH,7.12,-0.28,14.76,79.85|2025年报,-,39.70亿|2025年报,37.99亿|2025三季报,23.84亿|2025半年报,11.95亿|2025一季报,22.07亿|2024年报,-,39.12亿|2025年报,37.11亿|2025三季报,22.82亿|2025半年报,11.79亿|2025一季报,21.67亿|2024年报,-0.020,7.18,7.09,0.66,0.92,5401.40万,3.85亿,3.69,1.1558,586.13亿,586.13亿,1000000058,False
150,002393,力生制药,SZ,23.68,-0.29,14.65,125.59|2025年报,-,4.16亿|2025年报,3.71亿|2025三季报,3.43亿|2025半年报,5527.53万|2025一季报,1.85亿|2024年报,-,4.23亿|2025年报,3.74亿|2025三季报,3.45亿|2025半年报,5657.09万|2025一季报,1.86亿|2024年报,-0.070,23.78,23.40,1.87,0.92,466.81万,1.10亿,3.66,1.3403,61.00亿,59.27亿,1000006684,False
