序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
135,301131,聚赛龙,SZ,42.12,1.79,46.21,0.740,42.40,41.30,2.47,1.00,92.76万,3889.28万,15.25,2.1044,22.95亿,15.79亿,1002391443,False
136,688508,芯朋微,SH,65.49,2.73,46.16,1.740,66.17,63.39,2.83,0.81,371.82万,2.42亿,11.54,3.1550,86.00亿,86.00亿,1001117729,False
137,000025,特  力Ａ,SZ,16.29,0.80,46.15,0.130,16.30,16.06,0.85,1.08,332.92万,5388.84万,14.20,3.8852,70.22亿,63.98亿,1000009570,False
138,000573,粤宏远Ａ,SZ,4.96,5.31,46.14,0.250,5.00,4.64,6.88,0.85,4352.35万,2.12亿,11.54,1.9815,31.66亿,31.40亿,1000002394,False
139,300709,精研科技,SZ,42.34,-0.87,46.13,-0.370,42.99,42.22,4.15,0.86,618.91万,2.63亿,13.07,3.4323,78.78亿,63.21亿,1000740025,False
140,603125,常青科技,SH,18.00,0.00,46.08,0.000,18.12,17.86,0.45,0.65,181.67万,3272.04万,11.52,2.9773,72.87亿,72.87亿,1002891883,False
141,603229,奥翔药业,SH,10.24,-0.10,46.00,-0.010,10.31,10.11,1.20,0.84,997.07万,1.02亿,10.27,3.6221,85.02亿,85.02亿,1000492270,False
142,688269,凯立新材,SH,38.80,2.65,45.98,1.000,39.21,37.00,1.16,1.32,151.82万,5867.53万,15.26,4.8048,50.71亿,50.71亿,1002280934,False
143,920906,舜宇精工,BJ,23.61,0.55,45.96,0.130,23.68,23.33,1.05,0.68,35.18万,830.15万,10.42,2.6500,15.34亿,7.88亿,1000378406,False
144,002516,旷达科技,SZ,5.75,1.59,45.92,0.090,5.76,5.66,0.71,1.04,1040.73万,5948.62万,11.48,2.2391,84.57亿,83.80亿,1000010213,False
145,000630,铜陵有色,SZ,6.32,0.80,45.83,0.050,6.33,6.22,1.87,0.79,2.09亿,13.11亿,11.97,2.3905,847.48亿,704.24亿,1000004188,False
146,002827,高争民爆,SZ,32.74,1.74,45.81,0.560,32.80,31.94,0.98,1.03,271.64万,8816.45万,11.45,8.5015,90.70亿,90.36亿,1000625544,False
147,920806,云星宇,BJ,11.62,1.75,45.79,0.200,11.65,11.41,0.56,0.99,167.00万,1931.22万,35.39,2.2623,34.95亿,34.95亿,1003099113,False
148,603280,南方路机,SH,35.28,0.11,45.78,0.040,35.43,34.81,4.08,0.83,113.99万,4007.56万,12.42,2.8165,38.25亿,9.86亿,1002477250,False
149,301446,福事特,SZ,38.51,3.83,45.78,1.420,38.75,37.08,2.95,0.85,93.57万,3561.13万,15.06,3.3934,40.05亿,12.24亿,1003135110,False
150,920753,天纺标,BJ,18.45,0.22,45.68,0.040,18.55,17.97,1.08,0.94,34.93万,642.31万,16.29,3.7149,15.02亿,5.97亿,1000978959,False
151,000099,中信海直,SZ,18.17,3.00,45.67,0.530,18.60,17.51,2.31,1.64,1792.11万,3.24亿,11.42,2.5659,140.96亿,140.96亿,1000001924,False
