序号,代码,名称,市场代码简称,最新价(元) 2026.04.15,涨跌幅(%) 2026.04.15,市盈率(TTM)(倍) 2026.04.15,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.15,最高价(元) 2026.04.15,最低价(元) 2026.04.15,换手率(%) 2026.04.15,量比 2026.04.15,成交量(股) 2026.04.15,成交额(元) 2026.04.15,市盈率(动)(倍) 2026.04.15,市净率(倍) 2026.04.15,总市值(元) 2026.04.15,流通市值(元) 2026.04.15,CHOICE_INNER_CODE,IN_OPTIONAL
1,300824,北鼎股份,SZ,10.36,0.29,29.78,63.35|2025年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,0.030,10.53,10.30,1.21,1.31,383.85万,3998.75万,7.44,4.4992,33.81亿,32.79亿,1001247913,False
2,600699,均胜电子,SH,25.55,-1.01,29.66,39.08|2025年报,-,13.36亿|2025年报,11.20亿|2025三季报,7.08亿|2025半年报,3.40亿|2025一季报,9.60亿|2024年报,-,16.16亿|2025年报,13.63亿|2025三季报,9.09亿|2025半年报,4.03亿|2025一季报,13.26亿|2024年报,-0.260,26.47,25.41,2.50,0.82,3388.35万,8.79亿,7.42,2.2873,396.22亿,346.22亿,1000001818,False
3,301345,涛涛车业,SZ,221.74,1.16,29.62,89.29|2025年报,-,8.16亿|2025年报,6.07亿|2025三季报,3.42亿|2025半年报,8621.04万|2025一季报,4.31亿|2024年报,-,8.16亿|2025年报,6.07亿|2025三季报,3.42亿|2025半年报,8620.83万|2025一季报,4.31亿|2024年报,2.540,224.80,216.66,3.50,0.70,122.49万,2.71亿,7.41,6.6788,241.81亿,77.67亿,1002315746,False
4,300893,松原安全,SZ,22.73,2.85,29.35,40.70|2025年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,0.630,22.90,21.90,2.13,1.66,534.67万,1.21亿,7.34,5.2716,107.51亿,57.02亿,1001893726,False
5,603239,浙江仙通,SH,24.03,-1.19,29.32,29.22|2025年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,-0.290,24.57,23.96,1.72,0.49,466.40万,1.13亿,7.33,4.9065,65.05亿,65.05亿,1000326763,False
6,688236,春立医疗,SH,20.82,2.01,29.30,118.05|2025年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5807.11万|2025一季报,1.25亿|2024年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5803.06万|2025一季报,1.25亿|2024年报,0.410,20.85,20.39,0.90,1.47,259.93万,5374.19万,7.33,2.6749,79.86亿,60.05亿,1002231962,False
7,300972,万辰集团,SZ,205.69,5.56,29.26,358.09|2025年报,-,13.45亿|2025年报,8.55亿|2025三季报,4.72亿|2025半年报,2.15亿|2025一季报,2.94亿|2024年报,-,24.24亿|2025年报,15.91亿|2025三季报,8.70亿|2025半年报,3.88亿|2025一季报,6.03亿|2024年报,10.840,207.68,194.00,0.90,1.24,158.60万,3.21亿,7.32,25.9479,393.47亿,360.62亿,1002196463,False
8,300389,艾比森,SZ,19.96,-1.53,29.25,115.47|2025年报,-,2.52亿|2025年报,1.85亿|2025三季报,1.16亿|2025半年报,3641.00万|2025一季报,1.17亿|2024年报,-,2.46亿|2025年报,1.81亿|2025三季报,1.13亿|2025半年报,3387.13万|2025一季报,1.03亿|2024年报,-0.310,20.49,19.93,4.77,0.68,1047.00万,2.11亿,7.31,4.4969,73.67亿,43.80亿,1000011662,False
9,002611,东方精工,SZ,17.25,-1.88,28.95,44.88|2025年报,-,7.25亿|2025年报,5.10亿|2025三季报,3.97亿|2025半年报,2.76亿|2025一季报,5.01亿|2024年报,-,7.70亿|2025年报,5.40亿|2025三季报,4.16亿|2025半年报,2.81亿|2025一季报,5.40亿|2024年报,-0.330,17.76,17.15,2.80,1.05,2805.09万,4.89亿,7.24,3.6368,209.98亿,172.83亿,1000010123,False
10,601059,信达证券,SH,16.90,-0.76,28.94,38.74|2025年报,-,18.94亿|2025年报,13.54亿|2025三季报,10.24亿|2025半年报,2.05亿|2025一季报,13.65亿|2024年报,-,19.51亿|2025年报,13.81亿|2025三季报,10.32亿|2025半年报,2.09亿|2025一季报,14.15亿|2024年报,-0.130,17.10,16.88,0.15,0.56,479.52万,8131.64万,7.24,2.6011,548.07亿,548.07亿,1002507820,False
11,002083,孚日股份,SZ,13.08,-9.98,28.90,41.52|2026一季报,1.80亿|2026一季报,4.28亿|2025年报,2.96亿|2025三季报,2.46亿|2025半年报,1.27亿|2025一季报,-,1.78亿|2026一季报,4.11亿|2025年报,2.87亿|2025三季报,2.40亿|2025半年报,1.24亿|2025一季报,-,-1.450,13.75,13.08,13.34,1.74,1.26亿,16.81亿,17.16,2.5349,123.82亿,123.82亿,1000009908,False
12,603501,豪威集团,SH,92.31,-2.48,28.78,21.73|2025年报,-,40.45亿|2025年报,32.10亿|2025三季报,20.28亿|2025半年报,8.66亿|2025一季报,33.23亿|2024年报,-,40.32亿|2025年报,31.99亿|2025三季报,20.20亿|2025半年报,8.62亿|2025一季报,32.84亿|2024年报,-2.350,95.50,92.29,1.87,1.47,2263.22万,21.15亿,7.19,4.1668,1164.17亿,1117.33亿,1000498858,False
13,001285,瑞立科密,SZ,52.88,-1.89,28.75,23.75|2025年报,-,3.33亿|2025年报,2.37亿|2025三季报,1.42亿|2025半年报,-,2.69亿|2024年报,-,3.37亿|2025年报,2.40亿|2025三季报,1.44亿|2025半年报,-,2.75亿|2024年报,-1.020,53.87,52.60,4.65,1.09,192.98万,1.02亿,28.61,2.5149,95.28亿,21.94亿,1003689824,False
14,000960,锡业股份,SZ,34.08,0.65,28.52,36.14|2025年报,-,19.66亿|2025年报,17.45亿|2025三季报,10.62亿|2025半年报,4.99亿|2025一季报,14.44亿|2024年报,-,21.10亿|2025年报,18.45亿|2025三季报,11.28亿|2025半年报,5.08亿|2025一季报,15.70亿|2024年报,0.220,35.95,34.00,4.00,1.39,6580.80万,22.99亿,7.13,2.8634,560.76亿,560.76亿,1000001449,False
15,300442,润泽科技,SZ,90.26,-0.97,28.36,35.35|2026一季报,5.82亿|2026一季报,50.50亿|2025年报,47.04亿|2025三季报,8.82亿|2025半年报,4.30亿|2025一季报,-,5.86亿|2026一季报,50.49亿|2025年报,47.00亿|2025三季报,8.80亿|2025半年报,4.26亿|2025一季报,-,-0.880,92.99,89.82,3.12,0.89,5081.03万,46.35亿,63.34,10.3255,1475.16亿,1471.08亿,1000316971,False
16,300206,理邦仪器,SZ,14.88,-0.33,28.22,88.54|2025年报,-,3.06亿|2025年报,2.57亿|2025三季报,1.54亿|2025半年报,6508.82万|2025一季报,1.62亿|2024年报,-,3.08亿|2025年报,2.59亿|2025三季报,1.55亿|2025半年报,6518.00万|2025一季报,1.63亿|2024年报,-0.050,15.11,14.80,2.06,0.75,696.36万,1.04亿,7.06,3.9337,86.25亿,50.35亿,1000008332,False
17,002138,顺络电子,SZ,35.71,0.73,28.20,22.71|2025年报,-,10.21亿|2025年报,7.69亿|2025三季报,4.86亿|2025半年报,2.33亿|2025一季报,8.32亿|2024年报,-,11.41亿|2025年报,8.73亿|2025三季报,5.59亿|2025半年报,2.61亿|2025一季报,9.50亿|2024年报,0.260,36.55,35.53,3.28,1.12,2481.21万,8.93亿,7.05,4.6889,287.94亿,270.15亿,1000006995,False
18,002970,锐明技术,SZ,58.80,-0.34,27.97,31.95|2025年报,-,3.83亿|2025年报,2.74亿|2025三季报,2.03亿|2025半年报,1.01亿|2025一季报,2.90亿|2024年报,-,3.89亿|2025年报,2.79亿|2025三季报,2.06亿|2025半年报,1.00亿|2025一季报,2.94亿|2024年报,-0.200,61.30,58.60,6.13,0.90,758.98万,4.54亿,6.97,5.1016,106.67亿,72.84亿,1000730068,False
19,002917,金奥博,SZ,14.02,-0.43,27.92,40.70|2025年报,-,1.75亿|2025年报,1.33亿|2025三季报,8672.50万|2025半年报,3572.20万|2025一季报,1.24亿|2024年报,-,2.14亿|2025年报,1.59亿|2025三季报,9764.23万|2025半年报,3809.86万|2025一季报,1.53亿|2024年报,-0.060,14.18,14.01,1.54,0.50,400.32万,5632.26万,6.98,2.8521,48.74亿,36.53亿,1000868288,False
20,300130,新国都,SZ,23.07,-1.20,27.92,100.17|2025年报,-,4.69亿|2025年报,4.08亿|2025三季报,2.75亿|2025半年报,1.56亿|2025一季报,2.34亿|2024年报,-,4.66亿|2025年报,4.05亿|2025三季报,2.74亿|2025半年报,1.56亿|2025一季报,2.31亿|2024年报,-0.280,23.60,23.02,1.76,0.62,765.98万,1.78亿,6.98,2.9725,130.88亿,100.16亿,1000008098,False
21,000975,山金国际,SZ,29.85,-1.81,27.89,36.75|2025年报,-,29.72亿|2025年报,24.60亿|2025三季报,15.96亿|2025半年报,6.94亿|2025一季报,21.73亿|2024年报,-,32.68亿|2025年报,27.02亿|2025三季报,17.57亿|2025半年报,7.71亿|2025一季报,24.30亿|2024年报,-0.550,31.21,29.69,0.99,0.67,2497.87万,7.59亿,6.97,5.5561,828.85亿,754.44亿,1000002420,False
22,003033,征和工业,SZ,59.51,0.95,27.78,33.72|2025年报,-,1.75亿|2025年报,1.33亿|2025三季报,8900.17万|2025半年报,5383.85万|2025一季报,1.31亿|2024年报,-,1.76亿|2025年报,1.33亿|2025三季报,8892.10万|2025半年报,5383.85万|2025一季报,1.31亿|2024年报,0.560,60.61,58.67,1.90,0.61,153.49万,9147.90万,6.94,3.5826,48.65亿,48.05亿,1000730073,False
23,603166,福达股份,SH,13.61,-0.37,27.76,70.87|2025年报,-,3.17亿|2025年报,2.21亿|2025三季报,1.46亿|2025半年报,6510.68万|2025一季报,1.85亿|2024年报,-,3.17亿|2025年报,2.21亿|2025三季报,1.46亿|2025半年报,6510.68万|2025一季报,1.85亿|2024年报,-0.050,13.83,13.57,0.67,0.74,432.44万,5918.51万,6.94,3.3066,87.87亿,87.20亿,1000011315,False
24,603132,金徽股份,SH,18.26,-0.76,27.33,118.41|2026一季报,2.05亿|2026一季报,5.42亿|2025年报,3.46亿|2025三季报,2.53亿|2025半年报,9382.66万|2025一季报,-,2.05亿|2026一季报,5.41亿|2025年报,3.44亿|2025三季报,2.51亿|2025半年报,9261.35万|2025一季报,-,-0.140,18.75,18.22,1.11,0.87,1088.91万,2.00亿,21.79,5.2359,178.58亿,178.58亿,1002642459,False
25,920978,开特股份,BJ,26.21,-0.57,27.25,25.62|2025年报,-,1.73亿|2025年报,1.30亿|2025三季报,8525.19万|2025半年报,4013.01万|2025一季报,1.38亿|2024年报,-,1.73亿|2025年报,1.30亿|2025三季报,8525.57万|2025半年报,4004.40万|2025一季报,1.38亿|2024年报,-0.150,26.93,26.11,1.92,0.74,194.08万,5154.06万,6.81,6.0226,47.19亿,26.46亿,1000463547,False
26,300750,宁德时代,SZ,431.00,0.05,27.24,42.28|2025年报,-,722.01亿|2025年报,490.34亿|2025三季报,304.85亿|2025半年报,139.63亿|2025一季报,507.45亿|2024年报,-,767.86亿|2025年报,522.97亿|2025三季报,323.65亿|2025半年报,148.62亿|2025一季报,540.07亿|2024年报,0.210,439.46,427.07,0.88,0.94,3735.36万,161.22亿,6.81,5.8353,1.97万亿,1.83万亿,1001194744,False
27,605016,百龙创园,SH,26.39,-2.58,27.19,50.06|2025年报,-,3.69亿|2025年报,2.65亿|2025三季报,1.70亿|2025半年报,8141.96万|2025一季报,2.46亿|2024年报,-,3.69亿|2025年报,2.65亿|2025三季报,1.70亿|2025半年报,8141.96万|2025一季报,2.46亿|2024年报,-0.700,27.12,26.24,1.60,0.60,672.03万,1.79亿,7.52,5.3236,110.84亿,110.84亿,1002087055,False
28,002475,立讯精密,SZ,58.78,-0.61,27.09,24.20|2025年报,-,166.00亿|2025年报,115.18亿|2025三季报,66.44亿|2025半年报,30.44亿|2025一季报,133.66亿|2024年报,-,181.70亿|2025年报,127.28亿|2025三季报,72.98亿|2025半年报,33.77亿|2025一季报,145.79亿|2024年报,-0.360,60.98,58.45,2.72,0.72,1.98亿,117.90亿,6.45,5.0747,4282.70亿,4272.88亿,1000007943,False
29,002454,松芝股份,SZ,10.57,0.86,26.85,81.32|2025年报,-,2.47亿|2025年报,2.13亿|2025三季报,1.42亿|2025半年报,9323.97万|2025一季报,1.36亿|2024年报,-,2.86亿|2025年报,2.46亿|2025三季报,1.65亿|2025半年报,1.04亿|2025一季报,1.60亿|2024年报,0.090,11.08,10.38,4.83,1.01,3029.58万,3.25亿,6.71,1.6579,66.44亿,66.27亿,1000006292,False
30,600995,南网储能,SH,14.15,1.00,26.78,49.89|2025年报,-,16.89亿|2025年报,14.33亿|2025三季报,8.32亿|2025半年报,3.74亿|2025一季报,11.26亿|2024年报,-,20.78亿|2025年报,17.38亿|2025三季报,10.09亿|2025半年报,4.55亿|2025一季报,14.32亿|2024年报,0.140,14.30,13.94,0.84,1.23,2676.85万,3.79亿,6.70,1.9985,452.23亿,452.23亿,1000002388,False
31,600988,赤峰黄金,SH,43.30,-1.61,26.70,74.70|2025年报,-,30.82亿|2025年报,20.58亿|2025三季报,11.07亿|2025半年报,4.83亿|2025一季报,17.64亿|2024年报,-,34.47亿|2025年报,23.11亿|2025三季报,12.82亿|2025半年报,5.65亿|2025一季报,19.86亿|2024年报,-0.710,45.20,43.19,2.23,0.75,3708.13万,16.41亿,6.67,6.1339,822.88亿,720.47亿,1000002338,False
32,002803,吉宏股份,SZ,16.37,-0.37,26.63,52.16|2025年报,-,2.77亿|2025年报,2.16亿|2025三季报,1.18亿|2025半年报,5915.99万|2025一季报,1.82亿|2024年报,-,3.34亿|2025年报,2.59亿|2025三季报,1.37亿|2025半年报,6246.92万|2025一季报,1.84亿|2024年报,-0.060,16.61,16.29,1.96,0.77,566.58万,9326.84万,6.66,2.7325,73.73亿,47.26亿,1000317350,False
33,002925,盈趣科技,SZ,19.88,1.17,26.58,129.43|2025年报,-,5.77亿|2025年报,1.78亿|2025三季报,1.38亿|2025半年报,7664.03万|2025一季报,2.52亿|2024年报,-,5.99亿|2025年报,1.96亿|2025三季报,1.48亿|2025半年报,7854.87万|2025一季报,2.67亿|2024年报,0.230,20.08,19.63,1.69,1.18,1237.91万,2.46亿,6.65,3.0216,153.41亿,145.33亿,1000803513,False
34,600369,西南证券,SH,4.25,-0.70,26.58,51.90|2025年报,-,10.62亿|2025年报,7.06亿|2025三季报,4.23亿|2025半年报,2.46亿|2025一季报,6.99亿|2024年报,-,10.62亿|2025年报,7.06亿|2025三季报,4.23亿|2025半年报,2.46亿|2025一季报,6.99亿|2024年报,-0.030,4.29,4.24,0.33,0.55,2215.26万,9448.23万,6.65,1.0759,282.42亿,282.42亿,1000000892,False
35,601456,国联民生,SH,9.31,-0.43,26.33,405.49|2025年报,-,20.09亿|2025年报,17.63亿|2025三季报,11.27亿|2025半年报,3.76亿|2025一季报,3.97亿|2024年报,-,20.31亿|2025年报,17.79亿|2025三季报,11.37亿|2025半年报,3.79亿|2025一季报,4.06亿|2024年报,-0.040,9.40,9.28,0.38,0.61,1681.37万,1.57亿,6.58,1.0075,528.86亿,407.50亿,1000868277,False
36,603586,金麒麟,SH,18.22,-0.44,26.19,47.95|2025年报,-,1.36亿|2025年报,1.33亿|2025三季报,1.08亿|2025半年报,7506.44万|2025一季报,9217.01万|2024年报,-,1.36亿|2025年报,1.33亿|2025三季报,1.08亿|2025半年报,7506.44万|2025一季报,9217.01万|2024年报,-0.080,18.46,18.18,0.93,0.94,182.78万,3346.89万,6.55,1.5514,35.72亿,35.72亿,1000498861,False
37,600499,科达制造,SH,17.80,-2.47,26.08,30.07|2025年报,-,13.09亿|2025年报,11.49亿|2025三季报,7.45亿|2025半年报,3.47亿|2025一季报,10.06亿|2024年报,-,21.67亿|2025年报,18.32亿|2025三季报,11.37亿|2025半年报,5.21亿|2025一季报,12.88亿|2024年报,-0.450,18.26,17.72,1.04,0.53,2001.99万,3.59亿,6.52,2.7109,341.38亿,341.38亿,1000000120,False
38,300456,赛微电子,SZ,52.42,-1.84,26.05,966.77|2025年报,-,14.73亿|2025年报,15.76亿|2025三季报,-65.03万|2025半年报,264.21万|2025一季报,-1.70亿|2024年报,-,13.88亿|2025年报,15.14亿|2025三季报,-2888.75万|2025半年报,-2012.53万|2025一季报,-2.55亿|2024年报,-0.980,54.00,52.08,8.64,0.66,5163.76万,27.31亿,6.51,5.6995,383.83亿,313.18亿,1000317362,False
