序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,量比 2026.04.16,换手率(%) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,CHG<70>{2026-04-16},IN_OPTIONAL
147,002469,三维化学,SZ,8.86,6.11,2.82,5.07,0.510,8.96,8.36,3184.47万,2.79亿,7.71,2.1696,57.49亿,55.68亿,1000008283,6.11,False
148,301321,翰博高新,SZ,23.45,6.11,1.55,5.45,1.350,23.80,21.67,804.29万,1.87亿,-124.39,4.4996,43.72亿,34.62亿,1002750125,6.11,False
149,603110,东方材料,SH,17.60,6.09,2.57,9.43,1.010,17.90,16.59,1896.92万,3.30亿,277.34,5.0884,35.42亿,35.42亿,1000611307,6.09,False
150,300478,杭州高新,SZ,26.72,6.07,2.02,5.04,1.530,26.89,25.28,637.87万,1.68亿,-30.93,83.4058,33.85亿,33.85亿,1000310107,6.07,False
151,002125,湘潭电化,SZ,14.29,6.01,2.38,5.83,0.810,14.39,13.50,3669.34万,5.19亿,14.29,2.9478,89.96亿,89.96亿,1000006436,6.01,False
152,300605,恒锋信息,SZ,14.88,5.98,2.00,6.38,0.840,14.97,14.00,806.68万,1.17亿,58.89,5.0658,24.57亿,18.81亿,1000506168,5.98,False
153,605208,永茂泰,SH,14.83,5.93,1.99,5.35,0.830,14.98,13.99,1766.48万,2.58亿,18.12,2.2267,48.93亿,48.93亿,1001908735,5.93,False
154,301428,世纪恒通,SZ,35.71,5.87,1.70,14.00,1.980,35.80,33.77,856.67万,3.00亿,18.50,2.7691,35.23亿,21.85亿,1000730080,5.87,False
155,300556,丝路视觉,SZ,18.53,5.83,2.99,7.32,1.020,19.17,17.50,794.07万,1.46亿,-4.60,5.0779,22.53亿,20.11亿,1000326702,5.83,False
156,002882,金龙羽,SZ,29.63,5.82,3.06,7.03,1.630,30.21,27.50,1734.92万,5.01亿,29.97,6.0639,128.27亿,73.12亿,1000492264,5.82,False
157,603101,汇嘉时代,SH,9.82,5.82,1.93,8.34,0.540,9.89,9.19,3924.22万,3.78亿,14.36,3.3662,46.19亿,46.19亿,1000308869,5.82,False
158,300949,奥雅股份,SZ,39.37,5.80,1.86,3.89,2.160,39.88,36.94,133.29万,5166.73万,-20.58,3.5343,23.62亿,13.50亿,1000734425,5.80,False
159,300467,迅游科技,SZ,32.35,5.79,2.20,4.54,1.770,32.77,30.41,765.95万,2.44亿,93.03,10.2962,65.74亿,54.53亿,1000305481,5.79,False
160,002498,汉缆股份,SZ,8.99,5.76,4.07,12.92,0.490,9.15,8.13,4.30亿,37.28亿,15.78,3.3546,299.08亿,299.08亿,1000008295,5.76,False
161,603358,华达科技,SH,34.48,5.73,1.53,3.93,1.870,35.32,33.27,1790.09万,6.17亿,10.29,4.3050,161.97亿,156.95亿,1000402186,5.73,False
162,001367,海森药业,SZ,27.40,5.71,1.93,8.31,1.480,28.00,25.71,1011.09万,2.73亿,7.68,2.7946,41.74亿,33.33亿,1002885803,5.71,False
163,605598,上海港湾,SH,54.06,5.71,2.55,4.73,2.920,55.29,50.63,1148.73万,6.14亿,41.47,7.2291,131.37亿,131.37亿,1002297032,5.71,False
164,002552,宝鼎科技,SZ,21.52,5.70,1.84,9.26,1.160,21.66,19.90,3412.69万,7.16亿,16.80,5.5743,83.49亿,79.30亿,1000008949,5.70,False
165,301097,天益医疗,SZ,60.30,5.70,2.70,4.98,3.250,63.36,56.65,144.03万,8589.90万,44.22,3.0078,35.55亿,17.45亿,1000979179,5.70,False
166,605365,立达信,SH,25.01,5.66,2.82,4.72,1.340,25.02,23.14,2371.70万,5.77亿,24.66,3.3676,125.55亿,125.55亿,1002281109,5.66,False
167,301106,骏成科技,SZ,30.00,5.63,2.47,3.35,1.600,30.40,28.16,341.97万,1.01亿,9.72,2.3835,30.63亿,30.63亿,1002496322,5.63,False
168,000636,风华高科,SZ,22.22,5.61,1.58,7.97,1.180,22.40,21.04,9225.41万,20.24亿,28.13,2.0574,257.09亿,257.09亿,1000004192,5.61,False
169,300745,欣锐科技,SZ,27.29,5.61,1.83,4.79,1.450,27.54,25.72,681.59万,1.82亿,-18.37,2.0247,46.00亿,38.84亿,1000975322,5.61,False
170,688162,巨一科技,SH,35.34,5.59,2.49,3.80,1.870,35.96,33.13,520.54万,1.82亿,23.26,1.9975,48.45亿,48.45亿,1002492589,5.59,False
171,000409,云鼎科技,SZ,11.18,5.57,2.87,3.02,0.590,11.23,10.58,1783.02万,1.95亿,22.99,4.7165,75.77亿,66.02亿,1000002106,5.57,False
172,300398,飞凯材料,SZ,29.20,5.57,1.57,9.91,1.540,29.67,27.44,5589.42万,16.06亿,14.23,3.3643,165.55亿,164.64亿,1000305978,5.57,False
173,688631,莱斯信息,SH,56.86,5.57,2.11,6.45,3.000,59.88,53.95,418.09万,2.38亿,-46.61,4.8496,92.95亿,36.89亿,1000653909,5.57,False
174,002803,吉宏股份,SZ,17.28,5.56,2.41,5.40,0.910,17.48,16.25,1557.96万,2.65亿,7.03,2.8844,77.83亿,49.88亿,1000317350,5.56,False
175,301259,艾布鲁,SZ,34.69,5.54,2.55,4.11,1.820,34.99,32.90,406.31万,1.39亿,-182.89,6.5405,54.12亿,34.30亿,1002315742,5.54,False
176,688038,中科通达,SH,23.88,5.52,1.67,4.04,1.250,24.25,22.56,469.84万,1.10亿,-101.07,4.6747,27.79亿,27.79亿,1002382699,5.52,False
177,300052,中青宝,SZ,13.78,5.51,7.86,21.85,0.720,14.33,13.15,5721.62万,7.82亿,-33.06,9.5450,36.08亿,36.08亿,1000008179,5.51,False
178,000889,中嘉博创,SZ,5.00,5.49,1.76,38.89,0.260,5.21,4.38,3.38亿,16.16亿,-39.89,65.9573,46.81亿,43.49亿,1000000661,5.49,False
179,600300,维维股份,SH,3.66,5.48,2.59,5.04,0.190,3.72,3.45,8146.42万,2.94亿,4.42,1.6337,59.19亿,59.19亿,1000002392,5.48,False
180,002494,华斯股份,SZ,5.40,5.47,1.74,7.68,0.280,5.43,5.13,2202.10万,1.17亿,24.80,1.6307,20.37亿,15.49亿,1000007998,5.47,False
181,688486,龙迅股份,SH,67.95,5.45,1.59,3.06,3.510,68.67,66.15,407.72万,2.76亿,59.48,5.6709,90.60亿,90.59亿,1002422299,5.45,False
182,300648,星云股份,SZ,53.64,5.38,2.32,3.95,2.740,54.26,50.72,523.71万,2.75亿,-66.80,6.8643,93.48亿,71.17亿,1000602807,5.38,False
183,600397,江钨装备,SH,14.88,5.31,1.98,6.20,0.750,15.30,14.01,6138.56万,9.05亿,-12.01,94.7468,147.31亿,147.31亿,1000001683,5.31,False
184,688607,康众医疗,SH,65.60,5.30,1.85,5.44,3.300,66.00,59.80,479.80万,3.03亿,4153.41,6.8023,57.81亿,57.81亿,1002241414,5.30,False
185,300093,*ST金刚,SZ,20.10,5.29,1.91,3.27,1.010,20.28,18.92,755.96万,1.49亿,13.36,5.4105,108.54亿,46.43亿,1000008818,5.29,False
186,300159,*ST新研,SZ,3.41,5.25,2.55,3.31,0.170,3.46,3.24,6067.58万,2.05亿,-11.63,6.7824,112.20亿,62.47亿,1000008051,5.25,False
